PCN,ISSUED,LOCATION,FINE
LS8355344A,01/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS8355352A,01/01/2018,"BUS LANE, CANAL STREET",60
LS83553530,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553541,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553552,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553563,01/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83553610,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553621,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553632,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553643,01/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83553654,01/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS83553665,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553676,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553687,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553698,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553701,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553712,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553723,01/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83553789,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS8355379A,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553803,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553814,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553825,01/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83553836,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553847,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553858,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553869,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS8355387A,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553880,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553891,01/01/2018,"BUS LANE, WOODHOUSE LANE JUNC CLARENDON RD",60
LS83553916,01/01/2018,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60
LS83553927,01/01/2018,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60
LS83553938,01/01/2018,"BUS LANE, BURMANTOFTS ST JUNC RIGTON APP",60
LS83553949,01/01/2018,"BUS LANE, ROUNDHAY RD JUNC SHEPHERDS LANE",60
LS8355395A,01/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83553960,01/01/2018,"BUS LANE, DEWSBURY ROAD (M621)",60
LS83554012,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554023,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554034,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554045,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554056,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554067,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554078,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554089,01/01/2018,"BUS LANE, VICAR LANE",60
LS8355409A,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554103,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554114,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554125,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554136,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554147,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554158,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554169,01/01/2018,"BUS LANE, VICAR LANE",60
LS8355417A,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554180,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554191,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554205,01/01/2018,"BUS LANE, VICAR LANE",60
LS83554282,01/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83554293,01/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83554307,01/01/2018,"BUS LANE, VICAR LANE (JUNC KIRKGATE)",60
LS83554329,01/01/2018,"BUS LANE, BOAR LANE",60
LS8355433A,01/01/2018,"BUS LANE, BURLEY ROAD",60
LS83554340,01/01/2018,"BUS LANE, HEADROW",60
LS83554351,01/01/2018,"BUS LANE, HEADROW",60
LS83553461,02/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83553472,02/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83554216,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554227,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554238,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554249,02/01/2018,"BUS LANE, VICAR LANE",60
LS8355425A,02/01/2018,"BUS LANE, VICAR LANE",60
LS83554952,02/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83554963,02/01/2018,"BUS LANE, KIRKSTALL ROAD (JUNC VIADUCT RD)",60
LS83554996,02/01/2018,"BUS LANE, COMMERCIAL ROAD (NR BEECROFT ST)",60
LS83555015,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555026,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555037,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555048,02/01/2018,"BUS LANE, CANAL STREET",60
LS83555106,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555117,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555128,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555139,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS8355514A,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555150,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555161,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555172,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555183,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555194,02/01/2018,"BUS LANE, LOW ROAD JUNC OLD MILL LANE",60
LS83555274,02/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555285,02/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555296,02/01/2018,"BUS LANE, NORTH ST JUNC TRAFALGAR ST",60
LS83555332,02/01/2018,"BUS LANE, YORK ROAD JUNC SKELTON TERRACE",60
LS83555365,02/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83555376,02/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83555387,02/01/2018,"BUS LANE, OTLEY ROAD ADJ VICTORIA TERRACE",60
LS83555398,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555401,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555412,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555423,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555434,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555445,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555456,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
LS83555467,02/01/2018,"BUS LANE, YORK ST JUNC DUKE ST",60
